LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
GLIDR,Prostate Cancer,qPCR etc.,up-regulated,28211799,"Also Known As: LINC01172, TCONS_00015562",4,"NR_015363.2, NR_126044.1, NR_12045.1, NR_126046.1","21, 17, 9, 8","19,15,0,8","2,2,0,0","0,0,0,0",VALIDATED,glioblastoma down-regulated RNA;MGC21881;TCONS_00015562;FAM88A;family with sequence similarity 88 member A;long intergenic non-protein coding RNA 1172;LINC01172;HSALNG0071221;GLIDR;NONHSAG052261.2
H19,Prostate Cancer,"qPCR, Western blot, Microarray",differential expression,32146726,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Prostate Cancer,qPCR etc,up-regulated,32356434,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Prostate Cancer,"qPCR, Western blot, other",down-regulated,31426484,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Neuroendocrine Prostate Cancer,"RNA-seq, Microarray, qPCR etc.",up-regulated,29757368,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Prostate Cancer,"qPCR, Western blot etc.",down-regulated,24988946,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Prostate Cancer,qPCR etc.,down-regulated,24063685,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Prostate Cancer,"qPCR, ISH etc.",up-regulated,15525575,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
HCG11,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay",down-regulated,31228307,"Also Known As: CTA-14H9.3, bK14H9.3",1,NR_026790.1,35,31,4,0,VALIDATED,bK14H9.3; CTA-14H9.3
HCG11,Prostate Cancer,qPCR etc.,down-regulated,27522256,"Also Known As: CTA-14H9.3, bK14H9.3",1,NR_026790.1,35,31,4,0,VALIDATED,bK14H9.3; CTA-14H9.3
HCP5,Prostate Cancer,"RT-qPCR, Western blot",up-regulated,31746434,Also Known As: P5-1; 6S2650E; D6S2650E,1,NR_040662.1,23,21,2,0,VALIDATED,P5-1; 6S2650E; D6S2650E
HOTAIR,Prostate Cancer,"RNA-seq, qPCR, Western blot, in vitro knockdown",up-regulated,29944905,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay",down-regulated,29807357,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, Western blot, in vitro knockdown etc.",down-regulated,29221985,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",up-regulated,26962687,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, Western blot, ChIP, Dot blot etc.",differential expression,27922078,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, Western blot, ChIP, Luciferase reporter assay etc.",up-regulated,25895025,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, RIP, ChIP, RNA pull-down assay etc.",up-regulated,26411689,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,23936419,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, Western blot etc.",differential expression,29807357,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,Prostate Cancer,"qPCR, RNA-seq, ChIP-Seq, etc.",up-regulated,29944905,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17,16,15","1,1,1","0,0,0",REVIEWED,HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTTIP,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29884766,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,Prostate Cancer,"qPCR, Western blot",up-regulated,30809864,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,Prostate Cancer,qRT-PCR etc.,up-regulated,31570281,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,Prostate Cancer,"qPCR, Luciferase reporter assay, Western blot, etc.",up-regulated,29884766,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOXA11-AS,Prostate Cancer,"qPCR, Western blot",up-regulated,31971633,Also Known As: HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076,1,NR_002795.2,18,16,2,0,REVIEWED,HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076
HOXD-AS1,Prostate Cancer,"Microarray Analysis, western blot, RNAi, GhIP etc.",up-regulated,28487115,Also Known As: HAGLR; HOXD-AS1; MIR7704HG,12,"NR_110458.1, NR_110459.1, NR_110460.1, NR_110461.1, NR_110462.1, NR_110463.1, NR_110464.1, NR_110465.1, NR_110466.1, NR_033979.2, NR_110467.1, NR_110468.1","27, 25, 25, 23, 27, 25, 25, 23, 23, 22, 24, 24","25,0,23,22,25,24,24,21,21,20,23,23","2,0,2,1,2,1,1,2,2,2,1,1","0,0,0,0,0,0,0,0,0,0,0,0",VALIDATED,Mdgt; HOXD-AS1; MIR7704HG
HULC,Prostate Cancer,"qPCR, Western blot, RNAi",down-regulated,29694502,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,HCCAT1; LINC00078; NCRNA00078
HULC,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,29765457,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,HCCAT1; LINC00078; NCRNA00078
HULC,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,HCCAT1; LINC00078; NCRNA00078
IDH1-AS1,Prostate Cancer,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",up-regulated,31570703,,1,NR_046452.1,4,4,0,0,VALIDATED,IDH1 antisense RNA 1;IDH1 antisense RNA 1 (non-protein coding);HSALNG0021909;IDH1-AS1;NONHSAG030384.2
IGF2AS,Prostate Cancer,"qPCR, other",down-regulated,30423304,Also known as: PEG8; IGF2AS; IGF2-AS1,3,"___, NR_028043.2, NR_133657.1","___, 27, 27","24,24","3,3","0,0",REVIEWED,PEG8; IGF2AS; IGF2-AS1
"ILF3-AS1 ",Prostate Cancer,RNA-seq,differential expression,30906477,Also Known As: ILF3-DT; ILF3-AS1,1 (ILF3-DT),ILF3-DT (NR_024333.1),19 (ILF3-DT),19,0,0,VALIDATED (ILF3-DT),ILF3-AS1; ILF3-DT
INXS,Prostate Cancer,"qPCR, RACE-PCR etc.",down-regulated,24992962,Also known as: ABALON; Results include sequence for ABALON lncRNA ,1,KC505631.1 ,18,,,,VALIDATED,apoptotic BCL2L1-antisense long non-coding RNA;INXS;apoptotic BCL-X-associated long ncRNA;intronic BCL-XS-inducing lncRNA;HSALNG0129511
KCNQ1OT1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: LIT1; Kncq1; KvDMR1; KCNQ10T1; KCNQ1-AS2; KvLQT1-AS; NCRNA00012

Some (older-not checked for PQS) Long non-coding sense-intronic RNA Kcnq1ot1 (Kncq1 gene) ""lncRNA"" ncRNA (TPA: HG975405.1) was also there in result.",1,NR_002728.3,581,538,41,2,REVIEWED,LIT1; Kncq1; KvDMR1; KCNQ10T1; KCNQ1-AS2; KvLQT1-AS; NCRNA00012
LBCS,Prostate Cancer,"qPCR, Western blot, RIP",down-regulated,31221168,Also Known As: LNC-LBCS,3,"NR_134649.1, NR_134650.1, NR_134651.1","4,4,3","8,7,6","0,0,0","0,0,0",VALIDATED,LBCS
LINC-PINT,Prostate Cancer,"Microarray, qPCR etc.",up-regulated,27556357,"Also Known As: PINT; MKLN1-AS1; LincRNA-Pint

Some (older-not checked for PQS) Linc-pint lncRNA ""lncRNA"" ncRNA (partial sequence - MG322760.1) was also there in result.",13,"NR_015431.2, NR_024153.2, NR_109850.1, NR_109851.1, NR_109852.1, NR_109853.1, NR_109854.1, NR_109855.1, NR_034120.1, NR_110472.1, NR_110473.1, NR_170175.1, NR_170176.1","19, 8, 21, 19, 19, 15, 15, 15, 9, 8, 3, 23, 21","16,7,18,16,16,13,13,13,9,8,3,21,19","3,1,3,3,3,2,2,2,0,0,0,2,2","0,0,0,0,0,0,0,0,0,0,0,0,0",VALIDATED,PINT; MKLN1-AS1; LincRNA-Pint
LINC-ROR,Prostate Cancer,"qPCR, Microarray etc.",down-regulated,28843521,"Also Known As: ROR; lincRNA-RoR; lincRNA-ST8SIA3

Some (older) transcribed RNA, LINC-ROR variants (2-14; variant 1 not available in NCBI-NT) ""other"" ncRNA (complete sequence - _____, AB844430.1, AB844431.1, AB844432.1, AB844433.1, AB908956.1, AB932951.1, LC027885.1, LC027886.1, LC027887.1, LC027888.1, LC027889.1, LC027890.1 and LC027884.1 respectively) with PQS-___, 3, 1, 0, 0, 4, 1, 4, 13, 7, 8, 7, 2, 2 respectively were also there in result.

Sequence not available for 1st variant (older).",2,"NR_048536.2, NR_152602.1","15, 13","15,13","0,0","0,0",REVIEWED,ROR; lincRNA-RoR; lincRNA-ST8SIA3
LINC-ROR,Prostate Cancer,"qPCR, Western blot",up-regulated,30915739,"Also Known As: ROR; lincRNA-RoR; lincRNA-ST8SIA3

Some (older) transcribed RNA, LINC-ROR variants (2-14; variant 1 not available in NCBI-NT) ""other"" ncRNA (complete sequence - _____, AB844430.1, AB844431.1, AB844432.1, AB844433.1, AB908956.1, AB932951.1, LC027885.1, LC027886.1, LC027887.1, LC027888.1, LC027889.1, LC027890.1 and LC027884.1 respectively) with PQS-___, 3, 1, 0, 0, 4, 1, 4, 13, 7, 8, 7, 2, 2 respectively were also there in result.

Sequence not available for 1st variant (older).",2,"NR_048536.2, NR_152602.1","15, 13","15,13","0,0","0,0",REVIEWED,ROR; lincRNA-RoR; lincRNA-ST8SIA3
LINC00304,Prostate Cancer,"qRT-PCR , RNAi etc.",up-regulated,31012142,"Also Known As: C16orf81, NCRNA00304",1,NR_024347.2,26,26,3,0,VALIDATED,C16orf81; NCRNA00304
LINC00308,Prostate Cancer,qPCR,up-regulated,29923546,Also known asPRED16; C21orf74; NCRNA00308,1,NR_038400.1,3,3,0,0,VALIDATED,PRED16; C21orf74; NCRNA00308
LINC00355,Prostate Cancer,qPCR,up-regulated,29923546,,1,NR_145420.1,14,14,0,0,VALIDATED,long intergenic non-protein coding RNA 355;HSALNG0097622;NONHSAG013685.2;HSALNG0097626;NONHSAG013688.2;LINC00355;HSALNG0097627;NONHSAG013687.2
LINC00476,Prostate Cancer,RNA-seq,differential expression,30906477,"Also Known As: C9orf130, NAG11, NAG12",2,"NR_023390.1, NR_023389.1","46, 14","43,14","3,0","0,0",VALIDATED,NAG11; NAG12; C9orf130; LINC00476
LINC00518,Prostate Cancer,"real-time PCR, Luciferase reporter assay, Western blot, other",up-regulated,30462844,Also known as: C6orf218,1,NR_027793.1,8,8,0,0,VALIDATED,C6orf218
"LINC00617 ",Neuroendocrine Prostate Cancer,"RNA-seq, Microarray, qPCR etc.",up-regulated,29757368,Also Known As: HI-LNC78; TUNAR; TUNA; LINC00617,3 (TUNAR),"TUNAR (NR_132398.1, NR_038861.1, NR_132399.1)","26, 24, 19 (TUNAR)","26,24,19","0,0,0","0,0,0",REVIEWED (TUNAR),TUNA; HI-LNC78; LINC00617; TUNAR
LINC00649,Prostate Cancer,RNA-seq,differential expression,30906477,"Also Known As: LINC00650, lnc-ITSN1-2",3,"NR_038883.2, NR_134558.1, NR_134559.1 ","18, 14, 4","18,14,4","0,0,0","0,0,0",VALIDATED,LINC00650; lnc-ITSN1-2
LINC00662,Prostate Cancer,"qRT-PCR , Luciferase reporter assay , in vitro knockdown etc.",up-regulated,31114993,,1,NR_027301.1,6,5,1,0,VALIDATED,long intergenic non-protein coding RNA 662;CTC-459F4.2;LINC00662;HSALNG0125113;NONHSAG025376.2;NONHSAG025379.2
LINC00663,Prostate Cancer,qPCR etc.,down-regulated,26743782,,1,NR_026956.1,22,22,0,0,VALIDATED,long intergenic non-protein coding RNA 663;MGC39821;CTC-559E9.1;LINC00663;NONHSAG025200.2;HSALNG0124755
LINC00665,Prostate Cancer,"qPCR, Luciferase reporter assay etc.",up-regulated,32273723,,2,"NR_038278.1, NR_038279.1","16, 8","15,7","1,1","0,0",VALIDATED,CIP2A-BP
LINC00673,Prostate Cancer,"RT-qPCR, Western blot analysis, Dual luciferase reporter gene assay, RIP",up-regulated,31881124,Also known asSLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75,5,"NR_137281.2, NR_137280.2, NR_036488.1,  NR_152515.1, NR_152516.1 ","26, 25, 23, 23, 27","24,23,22,22,25","2,2,1,1,2","0,0,0,0,0",VALIDATED,SLNCR; SLNCR1; ERRLR01; HILNC75; LUCAIR1; HI-LNC75
LINC00683,Prostate Cancer,RNA-seq,down-regulated,30963639,,1,NR_120419.1,18,14,4,0,VALIDATED,long intergenic non-protein coding RNA 683;LINC00908;HSALNG0122571;HSALNG0122579;NONHSAG024201.2;LINC00683;NONHSAG024205.2;HSALNG0122581;HSALNG0122573
LINC00844,Prostate Cancer,"ChIP-seq, Microarray",down-regulated,30115758,,1,NR_108046.1,1,1,0,0,VALIDATED,long intergenic non-protein coding RNA 844;HSALNG0078193;LINC00844;NONHSAG005962.2
