LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
"FAL1 ",Non Small Cell Lung Cancer,"qPCR, RNA pull-down assay etc.",up-regulated,25203321,Also Known As: FALEC; FAL1; ncRNA-a1; LINC00568,1 (FALEC),FALEC (NR_051960.1),8 (FALEC),8,0,0,VALIDATED (FALEC),FAL1; ncRNA-a1; LINC00568; FALEC
"FAL1 ",Non Small Cell Lung Cancer,"qPCR, Western blot",up-regulated,28854421,Also Known As: FALEC; FAL1; ncRNA-a1; LINC00568,1 (FALEC),FALEC (NR_051960.1),8 (FALEC),8,0,0,VALIDATED (FALEC),FAL1; ncRNA-a1; LINC00568; FALEC
FAM83A-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, etc.",up-regulated,30659636,Also known as: HCCC11; HCCC11_v1; HCCC11_v2,1,NR_024479.1,10,10,0,0,VALIDATED,HCCC11; HCCC11_v1; HCCC11_v2
"FAM83H-AS1",Lung Adenocarcinoma,"qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay, Cell migration and invasion assay etc.",up-regulated,28198463,Also known as: LNCRNA-ATB; FAM83H-AS1,1 (LNCRNA-ATB),LNCRNA-ATB (NR_160525.1),17 (LNCRNA-ATB),16,1,0,VALIDATED (LNCRNA-ATB),IQ motif and ankyrin repeat containing 1;onco-lncRNA-3;FAM83H antisense RNA 1 (head to head);FAM83H-AS1;FAM83HAS1;IQ motif and ankyrin repeat domain-containing protein 1;IQ motif and ankyrin repeat domain-containing protein LOC642574;putative IQ motif and ankyrin repeat domain-containing protein LOC642574; LNCRNA-ATB
FAS-AS1,Non Small Cell Lung Cancer,"qPCR, Luciferase Reporter Assay etc",down-regulated,32329854,Also known as: SAF; FASAS; FAS-AS,1,NR_028371.1,5,5,0,0,VALIDATED,SAF; FASAS; FAS-AS
FBXL19-AS1,Lung Adenocarcinoma,"qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.",up-regulated,31566718,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,NCRNA00095
FBXL19-AS1,Lung Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",up-regulated,30610161,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,NCRNA00095
FBXL19-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot",up-regulated,31210311,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,NCRNA00095
FENDRR,Non Small Cell Lung Cancer,"qRT-PCR, Western blot",down-regulated,31749883,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,Non Small Cell Lung Cancer,"qPCR, Western blot",down-regulated,30981768,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,Non Small Cell Lung Cancer,"qPCR, Luciferase reporter assay",down-regulated,31545237,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,Non Small Cell Lung Cancer,"qPCR, Western blot, in vitro knockdown, etc.",down-regulated,30556873,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,Lung Adenocarcinoma,qPCR etc.,down-regulated,26918601,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FER1L4,Lung Cancer,"qRT-PCR , Western blot etc.",down-regulated,31115514,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,C20orf124
FER1L4,Lung Adenocarcinoma,"RNA-seq, qPCR etc.",up-regulated,27826625,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,C20orf124
FEZF1-AS1,Non Small Cell Lung Cancer,"qPCR, Western blotting, RIP etc.",up-regulated,28858731,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,Lung Adenocarcinoma,"qPCR, Western bolt, RIP, ChIP etc.",up-regulated,29262540,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,Lung Adenocarcinoma,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",up-regulated,29510777,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FGD5-AS1,Non Small Cell Lung Cancer,"qRT-PCR, Western blot, luciferase reporter assay, RIP",up-regulated,31919528,,5,"NR_046251.1, NR_046252.1, NR_046253.1, NR_046254.1, NR_046255.1","18, 21, 20, 20, 17","17,21,20,20,15","1,0,0,0,2","0,0,0,0,0",VALIDATED,FGD5 antisense RNA 1;FGD5 antisense RNA 1 (non-protein coding);FGD5-AS1;NONHSAG034508.2;HSALNG0024364;HSALNG0024365;HSALNG0024362
FLVCR1-AS1,Lung Cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30309647,Also known as: LQK1; FLVCR1-AS1; NCRNA00292,2,"NR_027285.1, NR_027286.1","8,5","7,4","1,1","0,0",VALIDATED,LQK1; FLVCR1-AS1; NCRNA00292
FLVCR1-AS1,Lung Cancer,"qPCR, Western blot, etc.",up-regulated,30697812,Also known as: LQK1; FLVCR1-AS1; NCRNA00292,2,"NR_027285.1, NR_027286.1","8,5","7,4","1,1","0,0",VALIDATED,LQK1; FLVCR1-AS1; NCRNA00292
FOXC2-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, RIP",up-regulated,31396359,Also known as: ODRUL,1,NR_125795.1,3,3,0,0,VALIDATED,ODRUL
FOXD2-AS1,Non Small Cell Lung Cancer,"qPCR, Luciferase reporter assay, Western blot, RIP",up-regulated,31534348,,1,NR_026878.1,24,21,3,0,VALIDATED,FOXD2 adjacent opposite strand RNA 1;MGC12982;FOXD2 antisense RNA 1 (non-protein coding);FOXD2 antisense RNA 1;FOXD2 antisense RNA 1 (head to head);HSALNG0003395;FOXD2-AS1;NONHSAG001375.2
FOXD2-AS1,Non Small Cell Lung Cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.",up-regulated,28132805,,1,NR_026878.1,24,21,3,0,VALIDATED,FOXD2 adjacent opposite strand RNA 1;MGC12982;FOXD2 antisense RNA 1 (non-protein coding);FOXD2 antisense RNA 1;FOXD2 antisense RNA 1 (head to head);HSALNG0003395;FOXD2-AS1;NONHSAG001375.2
FOXD3-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, luciferase reporter assay etc",up-regulated,32196603,"Also Known As: pasFOXD3

Some (older-not checked for PQS) FOXD3 antisense RNA 1 ""antisense RNA"" ncRNA (complete sequence - KF925349.1) was also there in result.",4,"NR_121634.1, NR_121635.1, NR_121636.1, NR_121637.1","11, 7, 8, 8","11,6,8,8","0,1,0,0","0,0,0,0",VALIDATED,FAST; pasFOXD3
FOXF1-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, Flow cytometry assay etc.",down-regulated,27577075,,Refer to FENDRR,,,,,,,FOXF1 adjacent non-coding developmental regulatory RNA;lincFOXF1;onco-lncRNA-21;FOXF1 antisense RNA 1 (head to head);FOXF1-AS1;FOXF1AS1;TCONS_00024240;FOXF1 antisense RNA 1 (non-protein coding);HSALNG0113304;FENDRR;HSALNG0113305;NONHSAG020218.2;lnc-MTHFSD-3
FTX,Non Small Cell Lung Cancer,"qRT-PCR, Western blot",down-regulated,32176463,Also Known As: LINC00182; MIR374AHG; NCRNA00182,1,NR_028379.1,8,8,0,0,REVIEWED,LINC00182; MIR374AHG; NCRNA00182
FTX,Lung Adenocarcinoma,"qPCR, RIP etc.",up-regulated,32226311,Also Known As: LINC00182; MIR374AHG; NCRNA00182,1,NR_028379.1,8,8,0,0,REVIEWED,LINC00182; MIR374AHG; NCRNA00182
GACAT3,Non Small Cell Lung Cancer,"qPCR, Western blot, Luciferase reporting assay etc.",up-regulated,29565489,Also Known As: LINC01458; lncRNA-AC130710,1,NR_126559.1,6,6,0,0,VALIDATED,LINC01458; lncRNA-AC130710
GAPLINC,Non Small Cell Lung Cancer,"qPCR, Western blot, other",up-regulated,31447565,Also Known As: LINC01540,2,"NR_110429.1, NR_110428.1","3,3","3,3","0,0","0,0",VALIDATED,LINC01540
GAPLINC,Non Small Cell Lung Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30522114,Also Known As: LINC01540,2,"NR_110429.1, NR_110428.1","3,3","3,3","0,0","0,0",VALIDATED,LINC01540
GAS5,Lung Cancer,"qPCR, Luciferase reporter assay, RNAi, Western blot, Microarray, RIP",up-regulated,30926767,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Cancer,"qRT-PCR , Luciferase reporter assay , Western blot etc.",down-regulated,31186629,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,qRT-PCR etc.,down-regulated,31077615,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,"qRT-PCR, Western blotting etc.",down-regulated,31032916,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Cancer,qPCR etc.,differential expression,29207621,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Adenocarcinoma,"qPCR, RNAi etc.",differential expression,26336799,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Adenocarcinoma,"Microarray, qPCR",up-regulated,25061321,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Cancer,"qPCR, Western blot, Luciferase activity",up-regulated,28686971,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,qPCR etc.,down-regulated,28339045,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,qPCR etc.,down-regulated,27631209,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Lung Adenocarcinoma,"qPCR, Western blot etc.",down-regulated,25925741,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,"qPCR, RNAi, Luciferase reporter assay, MTT assay etc.",down-regulated,28117028,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,"qPCR, Dual luciferase reporter assay, MTT assay etc.",down-regulated,28059053,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,"qPCR, Western blot, Luciferase reporter assay etc.",down-regulated,27338051,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Non Small Cell Lung Cancer,"qPCR, RNAi, Western blot etc.",down-regulated,24357161,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5-AS1,Non Small Cell Lung Cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",down-regulated,27489122,,1,NR_037605.1,2,2,0,0,VALIDATED,GAS5 antisense RNA 1;GAS5 antisense RNA 1 (non-protein coding);HSALNG0008546;NONHSAG003505.2;GAS5-AS1
GAS6-AS1,Non Small Cell Lung Cancer,qPCR etc.,down-regulated,23979857,,,,,,,,,GAS6 antisense RNA 1;GAS6 antisense RNA 1 (non-protein coding);GAS6-AS1;HSALNG0099625;NONHSAG014289.2
"GASL1 ",Non Small Cell Lung Cancer,"qPCR, Western-Blot, other",down-regulated,30468472,Also Known As: GASAL1; GASL1 ,1 (GASAL1),NR_149020.1 (GASAL1),45 (GASAL1),37,6,2,VALIDATED,GASL1; GASAL1
GATA2-AS1,Non Small Cell Lung Cancer,"qRT-PCR , Western blot , RNAi , RIP etc.",down-regulated,31607132,,1,NR_125398.1,18,16,2,0,VALIDATED,GATA2 antisense RNA 1;GATA2-AS1;NONHSAG036016.2;HSALNG0028800;HSALNG0028801;HSALNG0028803
GHET1,Non Small Cell Lung Cancer,qPCR etc.,up-regulated,29762836,Also Known As: ncRNA-GHET1,1,NR_130107.1,10,9,1,0,REVIEWED,lncRNA-GHET1
GMDS-AS1,Lung Adenocarcinoma,"RT-qPCR, Western blot, Luciferase assay",down-regulated,31860169,Also known as: GMDS-DT,1,NR_046229.1,8,8,0,0,VALIDATED,GMDS-AS1
GNAS-AS1,Non Small Cell Lung Cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31267263,Also known as: SANG; GNASAS; NESPAS; GNAS-AS; GNAS1AS; NESP-AS; NCRNA00075,1,NR_002785.2,13,10,3,0,REVIEWED,SANG; GNASAS; NESPAS; GNAS-AS; GNAS1AS; NESP-AS; NCRNA00075
GNAS-AS1,Non Small Cell Lung Cancer,"Microarray, qPCR etc.",up-regulated,25394782,Also known as: SANG; GNASAS; NESPAS; GNAS-AS; GNAS1AS; NESP-AS; NCRNA00075,1,NR_002785.2,13,10,3,0,REVIEWED,SANG; GNASAS; NESPAS; GNAS-AS; GNAS1AS; NESP-AS; NCRNA00075
H19,Lung Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",differential expression,29950144,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Lung Cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,30747209,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
H19,Lung Cancer,"RT-PCR , Western blot etc.",up-regulated,31190899,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
