LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19,aka
"FAM83H-AS1
LNCRNA-ATB",lung adenocarcinoma,"qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay, Cell migration and invasion assay etc.",up-regulated,28198463.0,Also known as: LNCRNA-ATB; FAM83H-AS1,1 (LNCRNA-ATB),LNCRNA-ATB (NR_160525.1),17 (LNCRNA-ATB),16,1,0,VALIDATED (LNCRNA-ATB),"4 (1 - 2G, 3 - C-rich)","[-0.87, -0.913, -0.917 (C-rich), 0.729 (2G)]  
","No similarity to any PQS (2G) from QGRS mapper.
",0,0,No PQS found in G4 Hunter,,IQ motif and ankyrin repeat containing 1;onco-lncRNA-3;FAM83H antisense RNA 1 (head to head);FAM83H-AS1;FAM83HAS1;IQ motif and ankyrin repeat domain-containing protein 1;IQ motif and ankyrin repeat domain-containing protein LOC642574;putative IQ motif and ankyrin repeat domain-containing protein LOC642574
FAS-AS1,non small cell lung cancer,"qPCR, Luciferase Reporter Assay etc",down-regulated,32329854.0,Also known as: SAF; FASAS; FAS-AS,1,NR_028371.1,5,5,0,0,VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 Hunter,,SAF; FASAS; FAS-AS
FBXL19-AS1,lung adenocarcinoma,"qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.",up-regulated,31566718.0,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,"14 (10-C-rich, 2-4G, 
2-2G)]","[-0.893, -0.911, -0.911,
-0.716, -0.814, -0.94, 
-0.746, -0.894, -1.043, 
-0.878 (C-rich); 0.821, 0.921 (4G)
0.891, 0.891 (2G)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (4G) of G4 Hunter. The G-tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (4G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.",1(C-rich),[-1.236 (C-rich)],No similarity to any PQS from QGRS mapper,,NCRNA00095
FBXL19-AS1,lung cancer,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",up-regulated,30610161.0,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,"14 (10-C-rich, 2-4G, 
2-2G)]","[-0.893, -0.911, -0.911,
-0.716, -0.814, -0.94, 
-0.746, -0.894, -1.043, 
-0.878 (C-rich); 0.821, 0.921 (4G)
0.891, 0.891 (2G)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (4G) of G4 Hunter. The G-tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (4G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.",1(C-rich),[-1.236 (C-rich)],No similarity to any PQS from QGRS mapper,,NCRNA00095
FBXL19-AS1,non small cell lung cancer,"qPCR, Western blot",up-regulated,31210311.0,Also Known As: NCRNA00095,1,NR_024348.1,33,31,2,0,VALIDATED,"14 (10-C-rich, 2-4G, 
2-2G)]","[-0.893, -0.911, -0.911,
-0.716, -0.814, -0.94, 
-0.746, -0.894, -1.043, 
-0.878 (C-rich); 0.821, 0.921 (4G)
0.891, 0.891 (2G)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (4G) of G4 Hunter. The G-tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (4G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.",1(C-rich),[-1.236 (C-rich)],No similarity to any PQS from QGRS mapper,,NCRNA00095
FENDRR,non small cell lung cancer,"qRT-PCR, Western blot",down-regulated,31749883.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),"3 (1-2G, 2-C-rich);
4 (2-2G, 1-3G, 1-C-rich);
8 (5-C-rich, 1-3G, 2-2G)","[0.803 (2G); -0.982,
 -0.867 (C-rich)];

[0.803, 0.86 (2G); 0.859 (3G); -0.909 (C-rich)]

[0.803, 0.86 (2G); 0.859 (3G); -0.8, -0.911, -0.88, -0.896, -0.909 (C-rich)]","No similarty to any PQS from QGRS
Mapper",0,0,No PQS found in G4 hunter,,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,non small cell lung cancer,"qPCR, Western blot",down-regulated,30981768.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),"3 (1-2G, 2-C-rich);
4 (2-2G, 1-3G, 1-C-rich);
8 (5-C-rich, 1-3G, 2-2G)","[0.803 (2G); -0.982,
 -0.867 (C-rich)];

[0.803, 0.86 (2G); 0.859 (3G); -0.909 (C-rich)]

[0.803, 0.86 (2G); 0.859 (3G); -0.8, -0.911, -0.88, -0.896, -0.909 (C-rich)]","No similarty to any PQS from QGRS
Mapper",0,0,No PQS found in G4 hunter,,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,non small cell lung cancer,"qPCR, Luciferase reporter assay",down-regulated,31545237.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),"3 (1-2G, 2-C-rich);
4 (2-2G, 1-3G, 1-C-rich);
8 (5-C-rich, 1-3G, 2-2G)","[0.803 (2G); -0.982,
 -0.867 (C-rich)];

[0.803, 0.86 (2G); 0.859 (3G); -0.909 (C-rich)]

[0.803, 0.86 (2G); 0.859 (3G); -0.8, -0.911, -0.88, -0.896, -0.909 (C-rich)]","No similarty to any PQS from QGRS
Mapper",0,0,No PQS found in G4 hunter,,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,non small cell lung cancer,"qPCR, Western blot, in vitro knockdown, etc.",down-regulated,30556873.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),"3 (1-2G, 2-C-rich);
4 (2-2G, 1-3G, 1-C-rich);
8 (5-C-rich, 1-3G, 2-2G)","[0.803 (2G); -0.982,
 -0.867 (C-rich)];

[0.803, 0.86 (2G); 0.859 (3G); -0.909 (C-rich)]

[0.803, 0.86 (2G); 0.859 (3G); -0.8, -0.911, -0.88, -0.896, -0.909 (C-rich)]","No similarty to any PQS from QGRS
Mapper",0,0,No PQS found in G4 hunter,,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,lung adenocarcinoma,qPCR etc.,down-regulated,26918601.0,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),"3 (1-2G, 2-C-rich);
4 (2-2G, 1-3G, 1-C-rich);
8 (5-C-rich, 1-3G, 2-2G)","[0.803 (2G); -0.982,
 -0.867 (C-rich)];

[0.803, 0.86 (2G); 0.859 (3G); -0.909 (C-rich)]

[0.803, 0.86 (2G); 0.859 (3G); -0.8, -0.911, -0.88, -0.896, -0.909 (C-rich)]","No similarty to any PQS from QGRS
Mapper",0,0,No PQS found in G4 hunter,,FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FER1L4,lung cancer,"qRT-PCR , Western blot etc.",down-regulated,31115514.0,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,20,,,0,0,No PQS found in G4 hunter,,C20orf124
FER1L4,lung adenocarcinoma,"RNA-seq, qPCR etc.",up-regulated,27826625.0,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,20,,,0,0,No PQS found in G4 hunter,,C20orf124
FEZF1-AS1,non small cell lung cancer,"qPCR, Western blotting, RIP etc.",up-regulated,28858731.0,,1,NR_036484.1,22,21,1,0,VALIDATED,"11 (6-2G, 5-C-rich)","[0.911, 0.933, 0.898, 1.021, 0.894 (2G); 0.875 -0.755, -0.891, -0.789, -0.913, -1 (C-rich)]",No similarity to any PQS  from QGRS mapper,0,0,No PQS found in G4 hunter,,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,lung adenocarcinoma,"qPCR, Western bolt, RIP, ChIP etc.",up-regulated,29262540.0,,1,NR_036484.1,22,21,1,0,VALIDATED,"11 (6-2G, 5-C-rich)","[0.911, 0.933, 0.898, 1.021, 0.894 (2G); 0.875 -0.755, -0.891, -0.789, -0.913, -1 (C-rich)]",No similarity to any PQS  from QGRS mapper,0,0,No PQS found in G4 hunter,,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,lung adenocarcinoma,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",up-regulated,29510777.0,,1,NR_036484.1,22,21,1,0,VALIDATED,"11 (6-2G, 5-C-rich)","[0.911, 0.933, 0.898, 1.021, 0.894 (2G); 0.875 -0.755, -0.891, -0.789, -0.913, -1 (C-rich)]",No similarity to any PQS  from QGRS mapper,0,0,No PQS found in G4 hunter,,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FGD5-AS1,non small cell lung cancer,"qRT-PCR, Western blot, luciferase reporter assay, RIP",up-regulated,31919528.0,,5,"NR_046251.1, NR_046252.1, NR_046253.1, NR_046254.1, NR_046255.1","18, 21, 20, 20, 17","17,21,20,20,15","1,0,0,0,2","0,0,0,0,0",VALIDATED,"14 (5-C-rich, 9-
3 (2-2G, 1-C-rich);
3 (2-2G, 1-C-rich);
3 (2-2G, 1-C-rich);
2 (1-2G, 1-C-rich)","[-0.738, -0.911, -0.466,
-0.911 (C-rich), 0.825, 1.16, 0.647, 0.788, 0.956 ()];

[0.915, 0.933 (2G); 
-0.911 (C-rich)];

[0.915, 0.933 (2G); 
-0.911 (C-rich)];

[0.915, 0.933 (2G); 
-0.911 (C-rich)]

[0.831 (3G); -0.911 (C-rich)]",,0,0,No PQS found in G4 hunter,,FGD5 antisense RNA 1;FGD5 antisense RNA 1 (non-protein coding);FGD5-AS1;NONHSAG034508.2;HSALNG0024364;HSALNG0024365;HSALNG0024362
FLVCR1-AS1,lung cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30309647.0,Also known as: LQK1; FLVCR1-AS1; NCRNA00292,2,"NR_027285.1, NR_027286.1","8,5","7,4","1,1","0,0",VALIDATED,"2 (2G);
2 (2G)","[0.796, 0.978 (2G)];

[0.796, 0.978 (2G)];",,0,0,No PQS found in G4 hunter,,LQK1; FLVCR1-AS1; NCRNA00292
FLVCR1-AS1,lung cancer,"qPCR, Western blot, etc.",up-regulated,30697812.0,Also known as: LQK1; FLVCR1-AS1; NCRNA00292,2,"NR_027285.1, NR_027286.1","8,5","7,4","1,1","0,0",VALIDATED,"2 (2G);
2 (2G)","[0.796, 0.978 (2G)];

[0.796, 0.978 (2G)];",,0,0,No PQS found in G4 hunter,,LQK1; FLVCR1-AS1; NCRNA00292
FOXC2-AS1,non small cell lung cancer,"qPCR, Western blot, RIP",up-regulated,31396359.0,Also known as: ODRUL,1,NR_125795.1,3,3,0,0,VALIDATED,,,,,,,,ODRUL
FOXD2-AS1,non small cell lung cancer,"qPCR, Luciferase reporter assay, Western blot, RIP",up-regulated,31534348.0,,1,NR_026878.1,24,21,3,0,VALIDATED,10,"[0.891, 0.933, 0.833 (2G) 0.797, 0.98, 0.833, (3G), -0.639, -0.767, -0.907, -0.891 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to PQS 3 (3G) of G4 hunter with a few additional nucleotides surrounding the G4 sequence. 
Similarly, the PQS 2 (3G) of QGRS Mapper is similar to PQS 5 (3G) of G4 hunter with a few additional nucleotides surrounding the G4 sequence. 
There is a slight overlap in PQS 5 and 6 (3G) of G4 hunter.",2 (C-rich),"-1.264, -0.94",No similarity to any PQS  from QGRS mapper,,FOXD2 adjacent opposite strand RNA 1;MGC12982;FOXD2 antisense RNA 1 (non-protein coding);FOXD2 antisense RNA 1;FOXD2 antisense RNA 1 (head to head);HSALNG0003395;FOXD2-AS1;NONHSAG001375.2
FOXD2-AS1,non small cell lung cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.",up-regulated,28132805.0,,1,NR_026878.1,24,21,3,0,VALIDATED,10,"[0.891, 0.933, 0.833 (2G) 0.797, 0.98, 0.833, (3G), -0.639, -0.767, -0.907, -0.891 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to PQS 3 (3G) of G4 hunter with a few additional nucleotides surrounding the G4 sequence. 
Similarly, the PQS 2 (3G) of QGRS Mapper is similar to PQS 5 (3G) of G4 hunter with a few additional nucleotides surrounding the G4 sequence. 
There is a slight overlap in PQS 5 and 6 (3G) of G4 hunter.",2 (C-rich),"-1.264, -0.94",No similarity to any PQS  from QGRS mapper,,FOXD2 adjacent opposite strand RNA 1;MGC12982;FOXD2 antisense RNA 1 (non-protein coding);FOXD2 antisense RNA 1;FOXD2 antisense RNA 1 (head to head);HSALNG0003395;FOXD2-AS1;NONHSAG001375.2
FOXD3-AS1,non small cell lung cancer,"qPCR, Western blot, luciferase reporter assay etc",up-regulated,32196603.0,"Also Known As: pasFOXD3

Some (older-not checked for PQS) FOXD3 antisense RNA 1 ""antisense RNA"" ncRNA (complete sequence - KF925349.1) was also there in result.",4,"NR_121634.1, NR_121635.1, NR_121636.1, NR_121637.1","11, 7, 8, 8","11,6,8,8","0,1,0,0","0,0,0,0",VALIDATED,"8 (4-C-rich, 4-2G)
4 (3-C-rich, 1-2G)
3 (2-C-rich, 1-2G)
3 (2-C-rich, 1-2G)","[-0.913, -0.776, -0.86,
-0.917 (C-rich); 0.911,
0.872, 0.8, 0.979 (2G)];

[-0.913, -0.86, -0.917 (C-rich); 0.979 (2G)];

[-0.86, -0.917 (C-rich); 0.979 (2G)];

3 (2-C-rich, 1-2G)",,0,0,No PQS found in G4 hunter,,FAST; pasFOXD3
FOXF1-AS1,non small cell lung cancer,"qPCR, Western blot, Flow cytometry assay etc.",down-regulated,27577075.0,,Refer to FENDRR,,,,,,,,,,,,,,FOXF1 adjacent non-coding developmental regulatory RNA;lincFOXF1;onco-lncRNA-21;FOXF1 antisense RNA 1 (head to head);FOXF1-AS1;FOXF1AS1;TCONS_00024240;FOXF1 antisense RNA 1 (non-protein coding);HSALNG0113304;FENDRR;HSALNG0113305;NONHSAG020218.2;lnc-MTHFSD-3
FTX,non small cell lung cancer,"qRT-PCR, Western blot",down-regulated,32176463.0,Also Known As: LINC00182; MIR374AHG; NCRNA00182,1,NR_028379.1,8,8,0,0,REVIEWED,,,,,,,,LINC00182; MIR374AHG; NCRNA00182
FTX,lung adenocarcinoma,"qPCR, RIP etc.",up-regulated,32226311.0,Also Known As: LINC00182; MIR374AHG; NCRNA00182,1,NR_028379.1,8,8,0,0,REVIEWED,,,,,,,,LINC00182; MIR374AHG; NCRNA00182
GACAT3,non small cell lung cancer,"qPCR, Western blot, Luciferase reporting assay etc.",up-regulated,29565489.0,Also Known As: LINC01458; lncRNA-AC130710,1,NR_126559.1,6,6,0,0,VALIDATED,1 (C-rich),[-0.758 (C-rich),,0,0,No PQS found in G4 hunter,,LINC01458; lncRNA-AC130710
GAPLINC,non small cell lung cancer,"qPCR, Western blot, other",up-regulated,31447565.0,Also Known As: LINC01540,2,"NR_110429.1, NR_110428.1","3,3","3,3","0,0","0,0",VALIDATED,,,,,,,,LINC01540
GAPLINC,non small cell lung cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30522114.0,Also Known As: LINC01540,2,"NR_110429.1, NR_110428.1","3,3","3,3","0,0","0,0",VALIDATED,,,,,,,,LINC01540
GAS5,lung cancer,"qPCR, Luciferase reporter assay, RNAi, Western blot, Microarray, RIP",up-regulated,30926767.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,lung cancer,"qRT-PCR , Luciferase reporter assay , Western blot etc.",down-regulated,31186629.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,non small cell lung cancer,qRT-PCR etc.,down-regulated,31077615.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,non small cell lung cancer,"qRT-PCR, Western blotting etc.",down-regulated,31032916.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,lung cancer,qPCR etc.,differential expression,29207621.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,lung adenocarcinoma,"qPCR, RNAi etc.",differential expression,26336799.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,lung adenocarcinoma,"Microarray, qPCR",up-regulated,25061321.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,lung cancer,"qPCR, Western blot, Luciferase activity",up-regulated,28686971.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,non small cell lung cancer,qPCR etc.,down-regulated,28339045.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
GAS5,non small cell lung cancer,qPCR etc.,down-regulated,27631209.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,SNHG2; NCRNA00030
