LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,aka
SNHG3,hepatocellular carcinoma,"RNA-seq, qPCR, ISH etc.",up-regulated,26373735.0,Also Known As: U17HG; RNU17C; RNU17D; U17HG-A; U17HG-AB; NCRNA00014,2,"NR_036473.1, NR_002909.2","18, 16","18, 16","0, 0","0, 0",VALIDATED,"3 (2G);
3 (2G)","[0.933, 0.894, 0.828 (2G)];
[0.933, 0.894, 0.828 (2G)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,U17HG; RNU17C; RNU17D; U17HG-A; U17HG-AB; NCRNA00014
SNHG4,liver cancer,RNAseq,up-regulated,31967298.0,"Also Known As: NCRNA00059, U19H",2,"NR_003141.3, NR_036536.1","10,8","10,8","0, 0","0, 0",VALIDATED,"4 (2 - 2G, 2 - C-rich);
2 (C-rich)","[0.911 ,  0.891 (2G), -0.754, -0.8 (C-rich)];
[-0.754, -0.8 (C-rich)]
",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,U19H; NCRNA00059
SNHG5,hepatocellular carcinoma,"qPCR, Western blot etc",up-regulated,32329834.0,Also Known As: U50HG; C6orf160; LINC00044; NCRNA00044,1,NR_003038.2,2,2,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,U50HG; C6orf160; LINC00044; NCRNA00044
SNHG5,hepatocellular carcinoma,"qPCR, Western blot, Luciferase reporter assay",up-regulated,30166525.0,Also Known As: U50HG; C6orf160; LINC00044; NCRNA00044,1,NR_003038.2,2,2,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,U50HG; C6orf160; LINC00044; NCRNA00044
SNHG6,hepatocellular carcinoma,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP",differential expression,29844127.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG6,cholangiocarcinoma,"qPCR, Western blot, Luciferase reporter assay etc",up-regulated,32226515.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG6,hepatocellular carcinoma,"qPCR, Luciferase reporter assay, Western blot",up-regulated,31563323.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG6,hepatocellular carcinoma,"Microarray, qPCR, Western blot, Luciferase reporter assay, RIP",up-regulated,31258024.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG6,hepatocellular carcinoma,"Microarray, qPCR, RNAi etc.",up-regulated,27530352.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG6,hepatocellular carcinoma,"qPCR, western blot, RIP etc.",differential expression,29844127.0,Also Known As: U87HG; HBII-276HG; NCRNA00058,4,"NR_002599.2, NR_152598.1, NR_152599.1, NR_152600.1","4, 5, 3, 5","4, 5, 3, 5","0, 0, 0, 0","0, 0, 0, 0",VALIDATED,"0, 0, 0, 0","0, 0, 0, 0",No PQS found in G4 hunter,"0;
0;
0;
0","0;
0;
0;
0",No PQS found in G4 hunter,,,,,,,,,,,U87HG; HBII-276HG; NCRNA00058
SNHG7,hepatocellular carcinoma,"qPCR, Luciferase reporter assay, Western blot",up-regulated,31545291.0,Also Known As: NCRNA00061,3,"NR_003672.2, NR_024542.1, NR_024543.1","28, 13, 12","23, 10, 9","5, 3, 3

PQS 1 and 2 are same in all variants.
PQS 3, 4 and 5 of 1st variant is different from other variants.
PQS 3 of 2nd and 3rd variants are same.","0, 0, 0",VALIDATED,"8 (2G)
3 (1 - 2G, 2 - C-rich)
2 (2G)","[0.826, 0.891, 0.904, 0.806, 0.891, 0.911, 0.854, 0.809 (2G)];
[0.826 (2G); -0.957,  -0.911 (C-rich)] ;
[0.826, 0.8 (2G)] 
",No similarity to PQS (2G) from QGRS mapper,"3 (3G);
2 (3G);
2 (3G)","[1.348, 1.292, 1.444 (3G)];
[1.348, 1.292 (3G)];
[1.348, 1.292 (3G)]",Some PQS from QGRS mapper is similar to / a part of PQS (2G) from G4 hunter,,,,,,,,,,,NCRNA00061
SNHG7,hepatocellular carcinoma,"qPCR, Western blot",up-regulated,31298322.0,Also Known As: NCRNA00061,3,"NR_003672.2, NR_024542.1, NR_024543.1","28, 13, 12","23, 10, 9","5, 3, 3

PQS 1 and 2 are same in all variants.
PQS 3, 4 and 5 of 1st variant is different from other variants.
PQS 3 of 2nd and 3rd variants are same.","0, 0, 0",VALIDATED,"8 (2G)
3 (1 - 2G, 2 - C-rich)
2 (2G)","[0.826, 0.891, 0.904, 0.806, 0.891, 0.911, 0.854, 0.809 (2G)];
[0.826 (2G); -0.957,  -0.911 (C-rich)] ;
[0.826, 0.8 (2G)] 
",No similarity to PQS (2G) from QGRS mapper,"3 (3G);
2 (3G);
2 (3G)","[1.348, 1.292, 1.444 (3G)];
[1.348, 1.292 (3G)];
[1.348, 1.292 (3G)]",Some PQS from QGRS mapper is similar to / a part of PQS (2G) from G4 hunter,,,,,,,,,,,NCRNA00061
SOX2-OT,cholangiocarcinoma,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,30556855.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 3 - C-rich);
5 (3 - 2G, 3 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 3 - C-rich);
5 (3 - 2G, 3 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915, -0.811,  -0.6];
[0.911, 0.933,  0.915, -0.811,  -0.6];
[0.764, -0.811, -0.6];
[0.911, 0.933,  0.915, -0.811,  -0.6];
[0.911, 0.933,  0.915, -0.811,  -0.6];
[-0.811, -0.6]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX21-AS1,hepatocellular carcinoma,"qPCR, Western blot, in vitro knockdown, RIP",up-regulated,29772433.0,,1,NR_046514.1,21,20,1,0,VALIDATED,"5 (1 - 2G, 4 - C-rich)","[-0.911, -.0913, 0.746, -1, -0.911 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX21 antisense divergent transcript 1;SOX21 antisense RNA 1 (non-protein coding);SOX21 antisense RNA 1;SOX21 antisense RNA 1 (head to head);NONHSAG013973.2;HSALNG0098682;HSALNG0098686;HSALNG0098688;HSALNG0098684;SOX21-AS1;NONHSAG013975.2;lnc-GPR180-2;HSALNG0098680
SOX21-AS1,hepatocellular carcinoma,"qPCR, RIP, Western blot etc.",up-regulated,29772433.0,,1,NR_046514.1,21,20,1,0,VALIDATED,"5 (1 - 2G, 4 - C-rich)","[-0.911, -.0913, 0.746, -1, -0.911 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX21 antisense divergent transcript 1;SOX21 antisense RNA 1 (non-protein coding);SOX21 antisense RNA 1;SOX21 antisense RNA 1 (head to head);NONHSAG013973.2;HSALNG0098682;HSALNG0098686;HSALNG0098688;HSALNG0098684;SOX21-AS1;NONHSAG013975.2;lnc-GPR180-2;HSALNG0098680
SOX2OT,hepatocellular carcinoma,"qPCR, Western blot, in vitro knockdown, RNAi",up-regulated,29963193.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.764 (2G); -0.811, -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[-0.811, -0.6 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX2OT,hepatocellular carcinoma,qPCR etc.,up-regulated,26703382.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.764 (2G); -0.811, -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[-0.811, -0.6 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX2OT,cholangiocarcinoma,"qPCR, in vitro knockdown etc.",up-regulated,29246536.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.764 (2G); -0.811, -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[-0.811, -0.6 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX2OT,hepatocellular carcinoma,"qPCR, RNAi etc.",up-regulated,26097588.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.764 (2G); -0.811, -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[-0.811, -0.6 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX2OT,hepatocellular carcinoma,"qPCR, Western blot, RNAi",up-regulated,29963193.0,"Some (older) SOX2OT transcript variant 7 lncRNA ""lncRNA"" ncRNA (complete sequence-KF981435.1) was also there in result.
","6 (SOX2-OT_Variant 1-6)
+
1 [SOX2-OT_Variant 7 (older)]
=7","SOX2-OT_Variant 1-6 (NR_075091.1, NR_075092.1, NR_075093.1, NR_004053.3, NR_075089.1, NR_075090.1)
+
SOX2OT_Variant 7 (older) (KF981435.1)","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","18, 16, 13, 16, 15, 11 (SOX2-OT_Variant 1-6)
+
11 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]","0, 0, 0, 0, 0, 0 (SOX2-OT_Variant 1-6)
+
0 [SOX2OT_Variant 7 (older)]",REVIEWED,"5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
3 (1 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
5 (3 - 2G, 2 - C-rich);
2 (C-rich)","[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.764 (2G); -0.811, -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[0.911, 0.933,  0.915 (2G); -0.811,  -0.6 (C-rich)];
[-0.811, -0.6 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX2OT; NCRNA00043
SOX9-AS1,hepatocellular carcinoma,"qPCR, Western blot, Luciferase reporter assay, RIP",up-regulated,31402556.0,,2,"NR_103738.1, NR_103737.1","25, 7","25, 7","0, 0","0, 0",VALIDATED,"3 (1 - 2G, 2 - C-rich)
2 (2 - C-rich)","[ 0.899 (2G); -0.933, -0.843 (C-rich)];
[-0.911, -0.79 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,SOX9 antisense RNA 1;FLJ37644;NONHSAG022651.2;HSALNG0118528;lnc-SLC39A11-10;HSALNG0118532;HSALNG0118537;lnc-SLC39A11-6
SPRY4-IT1,hepatocellular carcinoma,"qRT-PCR, Western blot, RNA-seq, RIP",up-regulated,31943198.0,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SPRIGHTLY
SPRY4-IT1,cholangiocarcinoma,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",up-regulated,29642935.0,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SPRIGHTLY
SPRY4-IT1,hepatocellular carcinoma,"qPCR, RNAi, Western blot, RIP, ChIP, Cell proliferation assay etc.",up-regulated,27899259.0,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SPRIGHTLY
SPRY4-IT1,hepatocellular carcinoma,qPCR etc.,up-regulated,27278245.0,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SPRIGHTLY
SPRY4-IT1,hepatocellular carcinoma,"qPCR, Western blot",up-regulated,29214989.0,Also Known As: SPRIGHTLY,1,NR_131221.1,5,5,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SPRIGHTLY
"SRHC 
LINC01018",hepatocellular carcinoma,qPCR etc.,up-regulated,27495068.0,Also known as: LINC01018; SRHC,2 (LINC01018),"LINC01018 (NR_024424.2, NR_024423.2) ","21, 17 (LINC01018)","20, 16 (LINC01018)","1, 1 (LINC01018)","0, 0 (LINC01018)",VALIDATED (LINC01018),"7 (4 - 2G, 3 - C-rich),
7  (4 - 2G, 3 - C-rich)","[1.197, 0.665, 0.956, 0.854 (2G); -0.788, -0.919, -0.851 (C-rich)];
[1.197, 0.665, 0.956, 0.854 (2G); -0.788, -0.919, -0.851 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,"5 ( 1- 3G, 4 - C-rich);
4 ( C-rich)
","[1.467, -1.417, -1.426, -1.4, -1.255 (C-rich)];
[-1.417, -1.426, -1.4, -1.255 (C-rich)]
",No similarity to PQS from QGRS Mapper,,,,,,,,,,,SRHC
"SRHC 
LINC01018",hepatocellular carcinoma,qPCR etc.,down-regulated,25512078.0,Also known as: LINC01018; SRHC,2 (LINC01018),"LINC01018 (NR_024424.2, NR_024423.2) ","21, 17 (LINC01018)","20, 16 (LINC01018)","1, 1 (LINC01018)","0, 0 (LINC01018)",VALIDATED (LINC01018),"7 (4 - 2G, 3 - C-rich),
7  (4 - 2G, 3 - C-rich)","[1.197, 0.665, 0.956, 0.854 (2G); -0.788, -0.919, -0.851 (C-rich)];
[1.197, 0.665, 0.956, 0.854 (2G); -0.788, -0.919, -0.851 (C-rich)]",No similarity to PQS (2G) from QGRS mapper,"5 ( 1- 3G, 4 - C-rich);
4 ( C-rich)
","[1.467, -1.417, -1.426, -1.4, -1.255 (C-rich)];
[-1.417, -1.426, -1.4, -1.255 (C-rich)]
",No similarity to PQS from QGRS Mapper,,,,,,,,,,,SRHC
SUMO1P3,hepatocellular carcinoma,qPCR,up-regulated,29905911.0,"Homo sapiens SUMO1 pseudogene 3 (SUMO1P3), non-coding RNA

Transcribed RNA - misc RNA (mentioned as lncRNA in title of paper; PubMed - 30799082)

Gene type - pseudo",1,NR_002190.1,6,6,0,0,VALIDATED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SUMO1 pseudogene 3;SUMO1 pseudogene 3 (functional)
SUMO1P3,hepatocellular carcinoma,"qRT-PCR, Western blot, Luciferase reporter assay",up-regulated,31970876.0,"Homo sapiens SUMO1 pseudogene 3 (SUMO1P3), non-coding RNA

Transcribed RNA - misc RNA (mentioned as lncRNA in title of paper; PubMed - 30799082)

Gene type - pseudo",1,NR_002190.1,6,6,0,0,VALIDATED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SUMO1 pseudogene 3;SUMO1 pseudogene 3 (functional)
SUMO1P3,hepatocellular carcinoma,"qPCR, etc.",up-regulated,29905911.0,"Homo sapiens SUMO1 pseudogene 3 (SUMO1P3), non-coding RNA

Transcribed RNA - misc RNA (mentioned as lncRNA in title of paper; PubMed - 30799082)

Gene type - pseudo",1,NR_002190.1,6,6,0,0,VALIDATED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,SUMO1 pseudogene 3;SUMO1 pseudogene 3 (functional)
TCL6,hepatocellular carcinoma,"qRT-PCR, Western blot",down-regulated,32020591.0,"Also Known As: TNG1, TNG2",2,"NR_028288.2 , NR_152604.1","16, 10","15, 10","1, 0","0, 0",VALIDATED,"8 (2G), 0","[0.792, 0.82, 1, 0.968, 0.891, 0.891, 0.9, 0.933 [2G]]; 0",No similarity to PQS (2G) from QGRS mapper,3 (3G),"[1.37, 1.362, 1.313 [3G]]","For Variant 1,
The PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter",,,,,,,,,,,TNG1; TNG2
TCL6,hepatocellular carcinoma,RNA-seq,up-regulated,30916406.0,"Also Known As: TNG1, TNG2",2,"NR_028288.2 , NR_152604.1","16, 10","15, 10","1, 0","0, 0",VALIDATED,"8 (2G), 0","[0.792, 0.82, 1, 0.968, 0.891, 0.891, 0.9, 0.933 [2G]]; 0",No similarity to PQS (2G) from QGRS mapper,3 (3G),"[1.37, 1.362, 1.313 [3G]]","For Variant 1,
The PQS 1 (3G) from QGRS mapper is similar to / a part of PQS 1 (3G) from G4 hunter",,,,,,,,,,,TNG1; TNG2
TGFB2-AS1,hepatocellular carcinoma,"qRT-PCR , in vitro knockdown etc.",up-regulated,31066006.0,,1,NR_046268.1,4,4,0,0,VALIDATED,1 (C-rich),[-0.776 [C-rich]],No similarity to PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter,,,,,,,,,,,TGFB2 antisense RNA 1 (head to head);NR_046268;HSALNG0010602;TGFB2-AS1;NONHSAG004303.2
"THOR 
THORLNC",hepatocellular carcinoma,"qPCR, Western blot",up-regulated,30098425.0,Also Known As: THORLNC; THOR,1 (THORLNC),THORLNC (NR_144530.1),4 (THORLNC),4 (THORLNC),0 (THORLNC),0 (THORLNC),VALIDATED (THORLNC),0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,THOR
"THOR 
THORLNC",liver cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30359743.0,Also Known As: THORLNC; THOR,1 (THORLNC),THORLNC (NR_144530.1),4 (THORLNC),4 (THORLNC),0 (THORLNC),0 (THORLNC),VALIDATED (THORLNC),0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter,,,,,,,,,,,THOR
TINCR,hepatocellular carcinoma,"RT-qPCR, Western blot",up-regulated,31994189.0,Also Known As: PLAC2; LINC00036; NCRNA00036; onco-lncRNA-16,1,NR_027064.3,40,30,10,0,REVIEWED,"24 ( 15- 2G, 9 - C-rich)","[1.184, 1.04, 0.936, 0.884, 0.877, 0.87, -0.836, -0.978, -1, 0.766, 1.136, 0.885, 0.865, 0.655, 0.542, -0.847, -0.833, -0.774, -0.956, 1, 0.911, 0.745, -1.075, -0.891]",No similarity to PQS (2G) from QGRS mapper,"10 (2 - 3G, 8 - C-rich)","[1.373, 1.604 (3G); -1.391, -1.422, -1.354, 1.347, -1.4, -1.5, -1.489, -1.375 (C-rich)]",No similarity to PQS from QGRS Mapper,,,,,,,,,,,TINCR ubiquitin domain containing;FLJ90734;NCRNA00036;LINC00036;onco-lncRNA-16;non-protein coding RNA 36;long intergenic non-protein coding RNA 36;terminal differentiation-induced ncRNA;placenta-specific 2;placenta-specific 2 (non-protein coding);tissue differentiation-inducing non-protein coding RNA;PLAC2;NONHSAG024566.2;lnc-TINCR-1;HSALNG0123467;HSALNG0123468;Ubiquitin domain-containing protein TINCR;Placenta-specific protein 2;Terminal differentiation-induced cornification regulator
