LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,aka
H19,prostate cancer,"qPCR, ISH etc.",up-regulated,15525575.0,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008

Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.

PQS 6 [Position-625 (3G)] obtained in 1st and 2nd variants when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3.

H19 1st and 2nd variants showed 2 (4G) PQS in QGRS mapper when search parameter was set to Min G-Group Size: 2, while it showed 2 (3G) and 1 (4G) PQS when search parameter was set to Min G-Group Size: 3, as PQS 1 (3G) 2 (4G) obtained when search parameter was set to Min G-Group Size: 3 was replaced by 1 PQS (4G) of different G-score (by taking PQS 1, flanking region and parts from PQS 2), while PQS 2 (4G) and 3 (3G) were replaced by 1 PQS (4G) of different G-score (by taking parts from PQS 2 and; flanking region and; parts from PQS 3) when search parameter was set to Min G-Group Size: 2.
For further consideration, PQS when search parameter was set to Min G-Group Size: 2 was taken.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38, 37, 12","27, 26, 11","9, 9, 1","2, 2, 0",REVIEWED,"32 (1 - 4G, 9 - 2G, 13 - 3G, 8 - C-rich);

32 (1 - 4G, 9 - 2G, 13 - 3G, 8 - C-rich); 

5 (C-rich)","[1.305 (4G), 0.837, 0.882, 0.833, 0.607, 0.824, 0.978, 0.891, 0.933, 0.911 (2G), 0.962, 0.891, 0.93,  0.934, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.958,  1.061,  0.953 (3G), -0.911, -0.911, -0.957, -0.621, -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305 (4G), 0.837, 0.882, 0.833, 0.607, 0.824, 0.978, 0.891, 0.933, 0.911 (2G), 0.962, 0.891, 0.93,  0.934, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.958,  1.061,  0.953 (3G), -0.911, -0.911, -0.957, -0.621, -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]","PQS 7 (3G) of  QGRS mapper and PQS 8 (3G) of G4 hunter have similar G tracts. 

PQS 14 (3G) of QGRS mapper and the PQS 15 (3G) of G4 hunter have similar G tracts. 

PQS 16 (3G) of QGRS mapper and the PQS 18 (3G) of G4 hunter have similar G tracts.

PQS 20 (3G) of QGRS mapper and the PQS 21 (3G) of G4 hunter have similar G tracts.

PQS 21 (3G) of QGRS mapper and the PQS 22 (3G) of G4 hunter have similar G tracts.

By looking at PQS 2 and 3 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

By looking at PQS 4 and 5 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

By looking at PQS 14, 15 and 16 (3G) of variants 1 and 2 in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ","2;
 
2;

0 (3G)","[1.583 (4G), 1.37 (3G)];

[1.583 (4G), 1.37 (3G)];

[0]","In variant 1 and 2, PQS 1 (4G) of QGRS mapper and the PQS 1 (4G) of G4 hunter have similar G tracts.

In variant 1 and 2, PQS 3 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

No PQS found in G4 hunter.",ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008
HCG11,prostate cancer,"qPCR, Western blot, Luciferase reporter assay",down-regulated,31228307.0,"Also Known As: CTA-14H9.3, bK14H9.3",1,NR_026790.1,35,31,4,0,VALIDATED,"6 (2 - 2G, 2 - 3G, 2 - C-rich)
","[0.904, 0.833, (3G), -0.754, -0.911 (C-rich), 0.648, 0.778  (2G)]","PQS 7 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper. 

PQS 30 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

PQS 6 (3G) from G4 hunter has a right frame-shift as compared to PQS 30 (3G) from QGRS mapper. ",2 (3G),"[1.236, 1.319 (3G)]","PQS 29 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 29 (3G) from QGRS mapper. 

PQS 30 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 30 (3G) from QGRS mapper. ",bK14H9.3; CTA-14H9.3
HCG11,prostate cancer,qPCR etc.,down-regulated,27522256.0,"Also Known As: CTA-14H9.3, bK14H9.3",1,NR_026790.1,35,31,4,0,VALIDATED,"6 (2 - 2G, 2 - 3G, 2 - C-rich)
","[0.904, 0.833, (3G), -0.754, -0.911 (C-rich), 0.648, 0.778  (2G)]","PQS 7 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 7 (3G) from QGRS mapper. 

PQS 30 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

PQS 6 (3G) from G4 hunter has a right frame-shift as compared to PQS 30 (3G) from QGRS mapper. ",2 (3G),"[1.236, 1.319 (3G)]","PQS 29 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 29 (3G) from QGRS mapper. 

PQS 30 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 30 (3G) from QGRS mapper. ",bK14H9.3; CTA-14H9.3
HCP5,prostate cancer,"RT-qPCR, Western blot",up-regulated,31746434.0,Also Known As: P5-1; 6S2650E; D6S2650E,1,NR_040662.1,23,21,2,0,VALIDATED,"2 (1 - 3G, 1 - C-rich)","[0.913 (3G), -0.857 (C-rich)]","
PQS 18 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.",0,0,No PQS found in G4 hunter,P5-1; 6S2650E; D6S2650E
HOTAIR,prostate cancer,"RNA-seq, qPCR, Western blot, in vitro knockdown",up-regulated,29944905.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, Western blot, Luciferase reporter assay",down-regulated,29807357.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, Western blot, in vitro knockdown etc.",down-regulated,29221985.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",up-regulated,26962687.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, Western blot, ChIP, Dot blot etc.",differential expression,27922078.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, Western blot, ChIP, Luciferase reporter assay etc.",up-regulated,25895025.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, RIP, ChIP, RNA pull-down assay etc.",up-regulated,26411689.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"Microarray, qPCR etc.",up-regulated,23936419.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, Western blot etc.",differential expression,29807357.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTAIR,prostate cancer,"qPCR, RNA-seq, ChIP-Seq, etc.",up-regulated,29944905.0,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

",HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072
HOTTIP,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29884766.0,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,prostate cancer,"qPCR, Western blot",up-regulated,30809864.0,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,prostate cancer,qRT-PCR etc.,up-regulated,31570281.0,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290.0,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOTTIP,prostate cancer,"qPCR, Luciferase reporter assay, Western blot, etc.",up-regulated,29884766.0,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper,HOXA-AS6; HOXA13-AS1; NCRNA00213
HOXA11-AS,prostate cancer,"qPCR, Western blot",up-regulated,31971633.0,Also Known As: HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076,1,NR_002795.2,18,16,2,0,REVIEWED,"12 (3 - 2G, 4 - 3G, 5 - C-rich)","[0.857, 0.737, 0.911 (2G), 0.833, 0.918, 0.87, 1.064 (3G) -0.642, -0.638, -0.911, -0.957, -0.831 (C-rich)] ","PQS 2 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have similar G tracts.

PQS 17 (3G) of QGRS mapper and the PQS 10 (3G) of G4 hunter have similar G tracts.

PQS 10 (3G) from G4 hunter has a left frame-shift as compared to PQS 17 (3G) from QGRS mapper.

PQS 17 (3G) of QGRS mapper and the PQS 11 (3G) of G4 hunter have similar G tracts.

PQS 11 (3G) from G4 hunter has a left frame-shift as compared to PQS 17 (3G) from QGRS mapper.

PQS 17 (3G) of QGRS mapper and the PQS 12 (3G) of G4 hunter have similar G tracts.

By looking at PQS 10, 11 and 12 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",0,0,Not PQS found in G4 hunter,HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076
