,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
869,NR_075090.1,11,0,0
870,NR_075091.1,18,0,0
871,NR_075092.1,16,0,0
872,NR_075093.1,13,0,0
873,NR_004053.3,16,0,0
874,NR_075089.1,15,0,0
875,NR_075090.1,11,0,0
876,NR_131221.1,5,0,0
877,NR_131221.1,5,0,0
878,NR_034115.1,13,0,1
879,NR_160958.1,8,0,0
880,NR_160959.1,6,0,0
881,NR_160960.1,6,0,0
882,NR_160958.1,8,0,0
883,NR_160959.1,6,0,0
884,NR_160960.1,6,0,0
885,NR_160958.1,8,0,0
886,NR_160959.1,6,0,0
887,NR_160960.1,6,0,0
888,NR_027064.3,30,10,0
889,NR_027064.3,30,10,0
890,NR_027157.1,17,1,0
891,NR_027157.1,17,1,0
892,NR_038458.1,9,4,1
893,NR_033711.1,61,6,0
894,NR_033710.1,52,6,0
895,NR_033709.1,41,5,0
896,NR_033708.1,33,5,0
897,NR_033712.1,26,4,0
898,NR_033711.1,61,6,0
899,NR_033710.1,52,6,0
900,NR_033709.1,41,5,0
901,NR_033708.1,33,5,0
902,NR_033712.1,26,4,0
903,NR_024458.1,12,0,0
904,NR_038272.1,32,0,0
905,NR_038271.1,13,0,0
906,NR_110492.1,31,4,0
907,NR_110493.1,30,4,0
908,NR_002323.2,30,4,0
909,NR_152867.1,12,0,0
910,NR_152868.1,12,0,0
911,NR_152869.1,30,4,0
912,NR_152870.1,30,4,0
913,NR_152871.1,31,4,0
914,NR_110492.1,31,4,0
915,NR_110493.1,30,4,0
916,NR_002323.2,30,4,0
917,NR_152867.1,12,0,0
918,NR_152868.1,12,0,0
919,NR_152869.1,30,4,0
920,NR_152870.1,30,4,0
921,NR_152871.1,31,4,0
922,NR_110492.1,31,4,0
923,NR_110493.1,30,4,0
924,NR_002323.2,30,4,0
925,NR_152867.1,12,0,0
926,NR_152868.1,12,0,0
927,NR_152869.1,30,4,0
928,NR_152870.1,30,4,0
929,NR_152871.1,31,4,0
930,NR_104174.1,9,0,0
931,NR_015379.3,10,0,0
932,NR_015379.3,10,0,0
933,NR_015379.3,10,0,0
934,NR_015379.3,10,0,0
935,NR_015379.3,10,0,0
936,NR_015379.3,10,0,0
937,NR_015379.3,10,0,0
938,NR_015379.3,10,0,0
939,NR_120546.1,29,2,1
940,NR_120547.1,22,1,1
941,NR_023920.2,11,1,1
942,NR_120548.1,12,1,0
943,NR_120549.1,9,1,0
944,NR_120546.1,29,2,1
945,NR_120547.1,22,1,1
946,NR_023920.2,11,1,1
947,NR_120548.1,12,1,0
948,NR_120549.1,9,1,0
949,NR_120546.1,29,2,1
950,NR_120547.1,22,1,1
951,NR_023920.2,11,1,1
952,NR_120548.1,12,1,0
953,NR_120549.1,9,1,0
954,NR_120546.1,29,2,1
955,NR_120547.1,22,1,1
956,NR_023920.2,11,1,1
957,NR_120548.1,12,1,0
958,NR_120549.1,9,1,0
959,NR_001564.2,71,0,0
960,NR_001564.2,71,0,0
961,NR_001564.2,71,0,0
962,NR_104131.2,7,0,0
963,NR_160779.1,26,0,0
964,NR_160780.1,26,0,0
965,NR_160781.1,6,0,0
966,NR_160782.1,7,0,0
967,NR_160783.1,5,0,0
968,NR_160784.1,4,0,0
969,NR_024284.1,6,1,0
970,NR_148975.1,5,0,0
971,NR_148976.1,10,1,0
972,NR_148977.1,12,2,0
973,NR_148978.1,4,1,0
974,NR_148979.1,4,1,0
975,NR_024284.1,6,1,0
976,NR_148975.1,5,0,0
977,NR_148976.1,10,1,0
978,NR_148977.1,12,2,0
979,NR_148978.1,4,1,0
980,NR_148979.1,4,1,0
981,NR_003604.3,11,2,0
982,NR_003605.2,8,1,0
983,NR_003606.3,10,2,0
984,NR_036658.2,11,2,0
985,NR_036659.2,4,0,0
986,NR_036521.1,8,0,0
987,NR_036522.1,4,0,0
