LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
HOTAIR,cervical cancer,"qPCR, Western blot, Luciferase Reporter Assay",differential expression,28893349,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Western blot, RNAi etc",down-regulated,29130509,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, RIP etc.",up-regulated,29336659,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29335299,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Luciferase Assay etc.",up-regulated,29163829,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, RNAi, Western blot etc.",up-regulated,27574106,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"Microarray, qPCR, Western blot, Luciferase reporter assay, RNAi",up-regulated,29391067,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Luciferase reporter assay etc.",up-regulated,27467165,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Luciferase reporter assay etc.",down-regulated,27683269,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"Microarray, qPCR, RIP etc.",down-regulated,26152361,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, Western blot etc.",differential expression,25547435,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,cervical cancer,"qPCR, RNAi, Western blot etc.",up-regulated,25405331,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072. Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18,17,16","17,16,15","1,1,1","0,0,0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOXA11-AS,cervical cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27792998,Also Known As: HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076,1,NR_002795.2,18,16,2,0,REVIEWED,"12 (7 - 2G, 5 - C-rich)","[0.857, 0.833, 0.737, 0.911, 0.918, 0.87, 1.064 (2G), -0.642, -0.638, -0.911, -0.957, -0.831 (C-rich)] ",,0,0,No PQS found in G4 Hunter
HOXD-AS1 (HAGLR),cervical cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29896986,Also Known As: Mdgt; HOXD-AS1; MIR7704HG,12,"NR_110458.1, NR_110459.1, NR_110460.1, NR_110461.1, NR_110462.1, NR_110463.1, NR_110464.1, NR_110465.1, NR_110466.1, NR_033979.2, NR_110467.1, NR_110468.1","27, 25, 25, 23, 27, 25, 25, 23, 23, 22, 24, 24","25, 23, 23, 22, 25, 24, 24, 21, 21, 20, 23, 23","2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1

PQS 1 of 1st and 5th variants is same.
PQS 1 of 2nd variant is same to the PQS 1 of 3rd, 8th and 9th variants.
PQS 1 of 10th variant is different from all other variants. 
PQS 2 of 1st variant is same to the PQS 1 of 4th, 6th, 7th, 11th and 12th variants; and same to the PQS 2 of 2nd, 3rd, 5th, 8th, 9th and 10th variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",VALIDATED,"18 (5 - 2G, 2 - 3G, 11 - C-rich);

22 (5 - 2G, 3 - 3G, 14 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

18 (5 - 2G, 2 - 3G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

20 (2 - 2G, 2 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich)","[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G), 0.763, 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891,  -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864,  -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1 (3G), 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)]","In variants 1 and 5, PQS 4 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

In variant 2, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variants 3 and 8, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variant 9, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.","3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich)","[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper.
HOXD-AS1 (HAGLR),cervical cancer,"qPCR, Western blot etc.",up-regulated,29228418,Also Known As: Mdgt; HOXD-AS1; MIR7704HG,12,"NR_110458.1, NR_110459.1, NR_110460.1, NR_110461.1, NR_110462.1, NR_110463.1, NR_110464.1, NR_110465.1, NR_110466.1, NR_033979.2, NR_110467.1, NR_110468.1","27, 25, 25, 23, 27, 25, 25, 23, 23, 22, 24, 24","25, 23, 23, 22, 25, 24, 24, 21, 21, 20, 23, 23","2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1

PQS 1 of 1st and 5th variants is same.
PQS 1 of 2nd variant is same to the PQS 1 of 3rd, 8th and 9th variants.
PQS 1 of 10th variant is different from all other variants. 
PQS 2 of 1st variant is same to the PQS 1 of 4th, 6th, 7th, 11th and 12th variants; and same to the PQS 2 of 2nd, 3rd, 5th, 8th, 9th and 10th variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",VALIDATED,"18 (5 - 2G, 2 - 3G, 11 - C-rich);

22 (5 - 2G, 3 - 3G, 14 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

18 (5 - 2G, 2 - 3G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

20 (2 - 2G, 2 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich)","[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G), 0.763, 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891,  -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864,  -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1 (3G), 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)]","In variants 1 and 5, PQS 4 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

In variant 2, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variants 3 and 8, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variant 9, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.","3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich)","[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper.
