LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
HOTAIR,prostate cancer,"qPCR, Western blot etc.",differential expression,29807357,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTAIR,prostate cancer,"qPCR, RNA-seq, ChIP-Seq, etc.",up-regulated,29944905,"Also Known As: HOXAS; HOXC-AS4; HOXC11-AS1; NCRNA00072

Some (older-not checked for PQS) Long non-coding antisense RNA HOTAIR (HOTAIR gene) ""antisense RNA"" ncRNA (TPA: HG975398.1) was also there in result.",3,"NR_047517.1, NR_003716.3, NR_047518.1","18, 17, 16, ","17, 16, 15","1, 1, 1","0, 0, 0",REVIEWED,"9 (7 - 2G, 2 - C-rich);

8 (7 - 2G, 1 - C-rich)

9 (8 - 2G, 1 - C-rich)","[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.891, -0.635 (C-rich)];

[0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)];

[0.658, 0.871, 0.857, 0.889, 0.911, 0.851, 0.935, 0.939 (2G), -0.635 (C-rich)]",,"0;

","0;

","No PQS found in G4 hunter

"
HOTTIP,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29884766,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper
HOTTIP,prostate cancer,"qPCR, Western blot",up-regulated,30809864,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper
HOTTIP,prostate cancer,qRT-PCR etc.,up-regulated,31570281,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper
HOTTIP,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper
HOTTIP,prostate cancer,"qPCR, Luciferase reporter assay, Western blot, etc.",up-regulated,29884766,"Also Known As: HOXA-AS6; HOXA13-AS1; NCRNA00213

Some (older-not checked for PQS) HoxA transcript at the distal tip RNA antisense RNA (HOTTIP) ""antisense RNA"" ncRNA (complete sequence - GU724873.1) was also there in result.",1,NR_037843.3,40,37,3,0,REVIEWED,"16 (2 - 3G, 14 - C-rich)
","[0.837, 0.935 (3G), -0.776, -0.91, -0.689, -0.796, -0.911, -0.771, -0.946, -0.911, -0.821, -0.831, -0.891, -0.889, -0.778, -0.891 (C-rich)]","PQS 1 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 2 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

By looking at PQS 1 and 2 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",3 (C-rich);,"[-1.34, -1.276, -1.23 (C-rich)]
",No similarity to any PQS from QGRS mapper
HOXA11-AS,prostate cancer,"qPCR, Western blot",up-regulated,31971633,Also Known As: HOXA11S; HOXA-AS5; HOXA11AS; HOXA11-AS1; NCRNA00076,1,NR_002795.2,18,16,2,0,REVIEWED,"12 (3 - 2G, 4 - 3G, 5 - C-rich)","[0.857, 0.737, 0.911 (2G), 0.833, 0.918, 0.87, 1.064 (3G) -0.642, -0.638, -0.911, -0.957, -0.831 (C-rich)] ","PQS 2 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have similar G tracts.

PQS 17 (3G) of QGRS mapper and the PQS 10 (3G) of G4 hunter have similar G tracts.

PQS 10 (3G) from G4 hunter has a left frame-shift as compared to PQS 17 (3G) from QGRS mapper.

PQS 17 (3G) of QGRS mapper and the PQS 11 (3G) of G4 hunter have similar G tracts.

PQS 11 (3G) from G4 hunter has a left frame-shift as compared to PQS 17 (3G) from QGRS mapper.

PQS 17 (3G) of QGRS mapper and the PQS 12 (3G) of G4 hunter have similar G tracts.

By looking at PQS 10, 11 and 12 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",0,0,Not PQS found in G4 hunter
HOXD-AS1,prostate cancer,"Microarray Analysis, western blot, RNAi, GhIP etc.",up-regulated,28487115,Also Known As: HAGLR; HOXD-AS1; MIR7704HG,12,"NR_110458.1, NR_110459.1, NR_110460.1, NR_110461.1, NR_110462.1, NR_110463.1, NR_110464.1, NR_110465.1, NR_110466.1, NR_033979.2, NR_110467.1, NR_110468.1","27, 25, 25, 23, 27, 25, 25, 23, 23, 22, 24, 24","25, 23, 23, 22, 25, 24, 24, 21, 21, 20, 23, 23","2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1

PQS 1 of 1st and 5th variants is same.
PQS 1 of 2nd variant is same to the PQS 1 of 3rd, 8th and 9th variants.
PQS 1 of 10th variant is different from all other variants. 
PQS 2 of 1st variant is same to the PQS 1 of 4th, 6th, 7th, 11th and 12th variants; and same to the PQS 2 of 2nd, 3rd, 5th, 8th, 9th and 10th variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",VALIDATED,"18 (5 - 2G, 2 - 3G, 11 - C-rich);

22 (5 - 2G, 3 - 3G, 14 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

18 (5 - 2G, 2 - 3G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

20 (2 - 2G, 2 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich)","[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G), 0.763, 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891,  -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864,  -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1 (3G), 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)]","In variants 1 and 5, PQS 4 (3G) of QGRS mapper is similar to / a part of PQS 2 (3G) of G4 hunter 

In variant 2, PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 4 (3G) of G4 hunter 

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 5 (3G) of G4 hunter 

PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 6 (3G) of G4 hunter 

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variants 3 and 8, PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 4 (3G) of G4 hunter 

PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 5 (3G) of G4 hunter 

PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 6 (3G) of G4 hunter 

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variant 9, PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 4 (3G) of G4 hunter 

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 5 (3G) of G4 hunter ","3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich)","[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper.
HULC,prostate cancer,"qPCR, Western blot, RNAi",down-regulated,29694502,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter
HULC,prostate cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,29765457,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter
HULC,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: HCCAT1; LINC00078; NCRNA00078

Some (older-not checked for PQS) Long non-coding RNA HULC (HULC gene) ""lncRNA"" ncRNA (TPA: HG975403.1) was also there in result.",1,NR_004855.2,1,1,0,0,REVIEWED,0,0,No PQS found in G4 hunter,0,0,No PQS found in G4 hunter
IDH1-AS1,prostate cancer,"qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.",up-regulated,31570703,,1,NR_046452.1,4,4,0,0,VALIDATED,1 (2G),[0.911 (2G)],No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
IGF2AS,prostate cancer,"qPCR, other",down-regulated,30423304,Also known as: PEG8; IGF2AS; IGF2-AS1,3,"___, NR_028043.2, NR_133657.1","___, 27, 27","___, 24, 25","___, 3, 2","___, 0, 0",REVIEWED,"25 (9 - 2G, 5 - 3G, 11 - C-rich);

24 (9 - 2G, 5 - 3G, 10 - C-rich)","[0.842, 0.81, 1.109, 0.883, 0.741 (3G), 0.942, 0.911, 0.911, 0.913, 0.935, 0.957, 0.935, 0.936, 0.808 (2G), -1.041, -0.933, -0.897, -0.961, -0.854, -0.957, -0.933, -0.991, -0.933, -0.872, -0.742 (C-rich)];

[0.842, 0.81, 1.109, 0.883, 0.935 (3G), 0.942, 0.911, 0.911, 0.913, 0.957, 0.935, 0.936, 0.808, 0.741 (2G), -1.041, -0.933, -0.897, -0.854, -0.957, -0.933, -0.991, -0.933, -0.872, -0.742 (C-rich)]","In variant 2, PQS 14 (3G) of QGRS mapper is similar to / a part of PQS 12 (3G) of G4 hunter 

PQS 19 (3G) of QGRS mapper is similar to / a part of PQS 19 (3G) of G4 hunter 

In variant 3, PQS 14 (3G) of QGRS mapper is similar to / a part of PQS 11 (3G) of G4 hunter 

PQS 19 (3G) of QGRS mapper is similar to / a part of PQS 18 (3G) of G4 hunter 

PQS 24 (3G) of QGRS mapper is similar to / a part of PQS 21 (3G) of G4 hunter ","8 (3 - 3G, 5 - C-rich);

8 (3 - 3G, 5 - C-rich)","(-1.244, 1.4, 1.391, 1.36, -1.319, -1.413, -1.4, -1.286)

(-1.244, 1.4, 1.391, 1.36, -1.319, -1.413, -1.4, -1.286)","In variants 2 and 3, PQS 14 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 14 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have similar G tracts.

PQS 14 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

By looking at PQS 2, 3 and 4 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. "
"ILF3-AS1 
ILF3-DT",prostate cancer,RNA-seq,differential expression,30906477,Also Known As: ILF3-DT; ILF3-AS1,1 (ILF3-DT),ILF3-DT (NR_024333.1),19 (ILF3-DT),19 (ILF3-DT),0 (ILF3-DT),0 (ILF3-DT),VALIDATED (ILF3-DT),3 (C-rich),"[-0.857, -0.979, -0.911 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper.,0,0,No PQS found in G4 Hunter
INXS,prostate cancer,"qPCR, RACE-PCR etc.",down-regulated,24992962,Also known as: ABALON; Results include sequence for ABALON lncRNA ,1,KC505631.1 ,18,16,2,0,VALIDATED,"12 (4 - 2G, 12 - C-rich)","[0.911,  0.961, 1 (2G); -0.891, -0.81, -0.957, -0.933, -0.941, -0.911, -0.911, -0.829,  -0.911 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,2 (C-rich),"[-1.236, -1.4 (C-rich)]",No similarity to PQS (3G) from QGRS mapper
KCNQ1OT1,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: LIT1; Kncq1; KvDMR1; KCNQ10T1; KCNQ1-AS2; KvLQT1-AS; NCRNA00012

Some (older-not checked for PQS) Long non-coding sense-intronic RNA Kcnq1ot1 (Kncq1 gene) ""lncRNA"" ncRNA (TPA: HG975405.1) was also there in result.",1,NR_002728.3,581,538,41,2,REVIEWED,"185 (59 - 2G, 32 - 3G, 3 - 4G, 91 - C-rich)","[0.914, 0.978, 1.23 (4G) 0.938, 0.942, 1.021, 0.911, 0.94, 1.008,  0.941, 0.627, 0.911, 0.765, 0.904, 0.691, 1.043, 0.886, 1.086, 0.911, 0.821, 0.957, 0.9, 0.852, 0.85, 0.73, 0.944, 0.754, 0.891, 0.857, 0.979, 0.958, 0.936, 1.021, 0.867, 1.071 (3G), 0.872, 0.911, 0.891, 0.852, 0.879, 1.019, 0.911, 0.933, 0.891, 0.933, 0.804, 0.911, 0.9, 0.891, 0.933, 0.911, 0.911, 0.918, 0.979, 1, 0.811, 0.852, 0.875, 0.911, 0.891, 0.827, 0.978, 0.915, 0.808, 0.863, 0.745, 0.902, 1.021, 0.825,  0.894, 0.891, 0.878, 0.902, 0.911, 0.741, 0.965, 0.86, 0.935, 0.84, 0.638, 0.872, 0.875, 0.911, 0.891, 0.791, 0.811, 0.872, 0.933, 0.721, 0.854, 0.891, 0.957, 0.9, 0.828 (2G), -0.891, -0.875, -0.911, -0.933, -0.788, -0.882, -0.911, -0.824, -0.906, -1.086, -0.915, -0.87, -0.894, -0.861, -0.957, -0.718, -0.75, -0.826, -0.911, -0.911, -0.911, -0.733, -0.851, -0.773, -0.757, -1.021, -0.965, -0.911, -1.043, -0.894, -0.766, -0.87, -0.891, -0.942, -0.945, -0.891, -0.916, -0.872, -0.891, -1, -0.911,  -0.719, -0.882, -0.891, -0.917, -0.911, -1.022, -0.911, -0.911, -0.894, -0.698, -0.894, -1, -0.935, -0.943, -0.857,  -0.707, -0.911, -0.942, -0.827, -0.981, -0.959, -0.911, -0.933, -0.943, -0.8, -0.911, -0.911, -0.872, -0.93, -0.978, -0.956, -0.896, -0.933, -0.843, -0.915, -0.891, -0.911, -0.855, -0.671, -0.891, -0.677, -0.911, -0.956, -0.944, -1, -0.911, -0.957, -0.86, -0.872, -0.872 (C-rich)]","PQS 22 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have similar G tracts.

PQS 24 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

PQS 24 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 57 (3G) of QGRS mapper and the PQS 13 (3G) of G4 hunter have similar G tracts.

PQS 72 (3G) of QGRS mapper and the PQS 18 (3G) of G4 hunter have similar G tracts.

PQS 81 (3G) of QGRS mapper and the PQS 24 (3G) of G4 hunter have similar G tracts.

PQS 24 (3G) from G4 hunter has a left frame-shift as compared to PQS 81 (3G) from QGRS mapper.

PQS 103 (3G) of QGRS mapper and the PQS 31 (3G) of G4 hunter have similar G tracts.

PQS 116 (3G) of QGRS mapper and the PQS 41 (3G) of G4 hunter have similar G tracts.

PQS 41 (3G) from G4 hunter has a left frame-shift as compared to PQS 116 (3G) from QGRS mapper.

PQS 132 (3G) of QGRS mapper and the PQS 46 (3G) of G4 hunter have similar G tracts.

PQS 143 (3G) of QGRS mapper and the PQS 48 (3G) of G4 hunter have similar G tracts.

PQS 48 (3G) from G4 hunter has a left frame-shift as compared to PQS 143 (3G) from QGRS mapper.

PQS 187 (3G) of QGRS mapper and the PQS 65 (3G) of G4 hunter have similar G tracts.

PQS 65 (3G) from G4 hunter has a left frame-shift as compared to PQS 187 (3G) from QGRS mapper.

PQS 215 (3G) of QGRS mapper and the PQS 69 (3G) of G4 hunter have similar G tracts.

PQS 219 (3G) of QGRS mapper and the PQS 70 (3G) of G4 hunter have similar G tracts.

PQS 262 (3G) of QGRS mapper and the PQS 89 (3G) of G4 hunter have similar G tracts.

PQS 297 (3G) of QGRS mapper and the PQS 105 (3G) of G4 hunter have similar G tracts.

PQS 299 (3G) of QGRS mapper and the PQS 108 (3G) of G4 hunter have similar G tracts.

PQS 310 (3G) of QGRS mapper and the PQS 115 (3G) of G4 hunter have similar G tracts.

PQS 317 (3G) of QGRS mapper and the PQS 117 (3G) of G4 hunter have similar G tracts.

PQS 345 (4G) of QGRS mapper and the PQS 128 (4G) of G4 hunter have similar G tracts.

PQS 351 (3G) of QGRS mapper and the PQS 133 (3G) of G4 hunter have similar G tracts.

PQS 362 (3G) of QGRS mapper and the PQS 135 (3G) of G4 hunter have similar G tracts.

PQS 381 (3G) of QGRS mapper and the PQS 139 (3G) of G4 hunter have similar G tracts.

PQS 397 (3G) of QGRS mapper and the PQS 147 (3G) of G4 hunter have similar G tracts.

PQS 398 (3G) of QGRS mapper and the PQS 148 (3G) of G4 hunter have similar G tracts.

PQS 148 (3G) from G4 hunter has a left frame-shift as compared to PQS 398 (3G) from QGRS mapper.

PQS 400 (3G) of QGRS mapper and the PQS 150 (3G) of G4 hunter have similar G tracts.

PQS 150 (3G) from G4 hunter has a left frame-shift as compared to PQS 400 (3G) from QGRS mapper.

PQS 400 (3G) of QGRS mapper and the PQS 151 (3G) of G4 hunter have similar G tracts.

PQS 480 (3G) of QGRS mapper and the PQS 171 (3G) of G4 hunter have similar G tracts.

PQS 577 (3G) of QGRS mapper and the PQS 185 (3G) of G4 hunter have similar G tracts.

PQS 185 (3G) from G4 hunter has a left frame-shift as compared to PQS 577 (3G) from QGRS mapper.

By looking at PQS 69 and 70 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. ",24 (  12 - C-rich)  ,"[-1.333, -1.396,, -1.053, -1.195, -1.354, -1.511, -1.4,
 -1.422, -1.286, -1.293, -1.17, -1.4 (C-rich), 1.404, 1.178, 1.333, 1.381, 1.114, 1.37, 1.314, 1.396 (3G), 1.042, 1.372 (4G), 1.4, 1.4 (2G)]","PQS 128 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have similar G tracts.

PQS 3 (3G) from G4 hunter has a left frame-shift as compared to PQS 128 (3G) from QGRS mapper.

PQS 187 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 194 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 345 (3G) of QGRS mapper and the PQS 14 (3G) of G4 hunter have similar G tracts.

PQS 14 (3G) from G4 hunter has a left frame-shift as compared to PQS 345 (3G) from QGRS mapper.

PQS 381 (3G) of QGRS mapper and the PQS 15 (3G) of G4 hunter have similar G tracts.

PQS 15 (3G) from G4 hunter has a left frame-shift as compared to PQS 381 (3G) from QGRS mapper.

PQS 398 (3G) of QGRS mapper and the PQS 19 (3G) of G4 hunter have similar G tracts.

PQS 19 (3G) from G4 hunter has a left frame-shift as compared to PQS 398 (3G) from QGRS mapper.

PQS 398 (3G) of QGRS mapper and the PQS 20 (3G) of G4 hunter have similar G tracts.

PQS 480 (3G) of QGRS mapper and the PQS 21 (3G) of G4 hunter have similar G tracts.

PQS 577 (3G) of QGRS mapper and the PQS 22 (3G) of G4 hunter have similar G tracts.

By looking at PQS 19 and 20 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. "
