LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number/GeneBank ID,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19
H19,lung cancer,qPCR etc.,down-regulated,24063685,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,lung cancer,qPCR etc.,up-regulated,16707459,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,29693721,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,"qPCR, RNAi, ChIP, Luciferase reporter assay, Flow cytometry assay etc.",up-regulated,26722426,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,qPCR etc.,up-regulated,28121347,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,"qPCR, RNAi, Western blot, Cell migration and invasion assay etc.",differential expression,27607135,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,"Microarray, qPCR, Cell proliferation assay etc.",up-regulated,25482516,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,"qPCR, RNAi, ChIP, Luciferase reporter assay etc.",up-regulated,26482621,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,lung cancer,"qPCR, Western blot etc.",up-regulated,29219208,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,non small cell lung cancer,qPCR etc.,up-regulated,28799568,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
H19,lung cancer,"qPCR, etc.",up-regulated,29950144,"Also Known As: ASM; BWS; WT2; ASM1; D11S813E; MIR675HG; LINC00008; NCRNA00008.Some (older-not checked for PQS) H19 ""other"" ncRNA endogenous virus human endogenous retrovirus H clone (partial sequence-MG598802.1) with note - non-coding HERV-H transcript, was also there in result.",3,"NR_002196.2, NR_131223.1, NR_131224.1","38,37,12","27,26,11","9,9,1","2,2,0",REVIEWED,"32 (24 - 2G, 8 - C-rich); 
32 (24 - 2G, 8 - C-rich); 
5 (C-rich)","[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621, (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)]; 

[1.305, 0.837, 0.962, 0.882, 0.891, 0.93, 0.833, 0.934 (2G), -0.911, -0.911, -0.957, -0.621 (C-rich), 0.607, 0.894, 0.803, 0.911, 0.859, 0.804, 0.933, 0.824, 0.978, 0.958, 0.891, 0.933, 0.911, 1.061,  0.953 (2G), -0.911, -0.911, -1, -0.8, -0.71 (C-rich)];
 
[-0.911, -0.911, -1, -0.8, -0.71 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"2; 
2;
0 (3G)","(1.583, 1.37 (3G));

(1.583, 1.37 (3G));",No similarity to any PQS (3G) from QGRS mapper,
HAGLR,lung adenocarcinoma,"Microarray, qPCR , in vitro knockdown , Western blot , RIP etc.",down-regulated,31194977,Also Known As: Mdgt; HOXD-AS1; MIR7704HG,12,"NR_110458.1, NR_110459.1, NR_110460.1, NR_110461.1, NR_110462.1, NR_110463.1, NR_110464.1, NR_110465.1, NR_110466.1, NR_033979.2, NR_110467.1, NR_110468.1","27, 25, 25, 23, 27, 25, 25, 23, 23, 22, 24, 24","25, 23, 23, 22, 25, 24, 24, 21, 21, 20, 23, 23","2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1

PQS 1 of 1st and 5th variants is same.
PQS 1 of 2nd variant is same to the PQS 1 of 3rd, 8th and 9th variants.
PQS 1 of 10th variant is different from all other variants. 
PQS 2 of 1st variant is same to the PQS 1 of 4th, 6th, 7th, 11th and 12th variants; and same to the PQS 2 of 2nd, 3rd, 5th, 8th, 9th and 10th variants.","0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",VALIDATED,"18 (5 - 2G, 2 - 3G, 11 - C-rich);

22 (5 - 2G, 3 - 3G, 14 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

18 (5 - 2G, 2 - 3G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

21 (4 - 2G, 3 - 3G, 14 - C-rich);

20 (2 - 2G, 2 - 3G, 14 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich);

15 (4 - 2G, 11 - C-rich)","[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G), 0.763, 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891,  -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.983, 1 (3G), 0.808, 0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864,  -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1, 0.891 (3G),  0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.721, 1 (3G), 0.891, 1.118, 0.911, 0.833 (2G), -0.796, -0.86, -0.891, -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)];

[0.891, 1.118, 0.911, 0.833 (2G), -0.636, -0.849, -0.947, -0.911, -0.957, -0.849, -1, -0.864, -0.667, -0.984, -0.911 (C-rich)]","In variants 1 and 5, PQS 4 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have similar G tracts.

In variant 2, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variants 3 and 8, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.

PQS 1 (3G) of QGRS mapper and the PQS 6 (3G) of G4 hunter have similar G tracts.

By looking at PQS 4, 5 and 6 (3G) in G4 hunter, it appears that at a time only 1 GQ can be formed as all PQS have a few common G-tracts due to overlap amongst all of these PQS. 

In variant 9, PQS 1 (3G) of QGRS mapper and the PQS 4 (3G) of G4 hunter have similar G tracts.

PQS 4 (3G) from G4 hunter has a left frame-shift as compared to PQS 1 (3G) from QGRS mapper.

PQS 1 (3G) of QGRS mapper and the PQS 5 (3G) of G4 hunter have similar G tracts.","3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich);

3 (C-rich)","[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]; 

[-1.4, -1.4, -1.258 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper.,
